check_number,initial_status,indexing_status,is_deleted,page_number,row_number
080560,Recognized - Validation Failed,Recognized - Validation Failed,1,3,3,
080560,Recognized - Validation Failed,Recognized - Validation Failed,1,4,2,
080560,Recognized - Validation Failed,Recognized - Validation Failed,0,4,3,
7003172,Recognized - Validation Failed,Recognized - Validation Failed,0,3,2,
82002763,Recognized - Validation Failed,Recognized - Validation Failed,0,2,3,
312045,Success,Success,0,4,7,
018605,Success,Success,0,2,6,
091253,Success,Success,0,2,3,
091253,Success,Success,0,2,4,
351663,Success,Success,0,2,3,
000002209,Success,Success,0,2,2,
000002209,Success,Success,0,2,3,
005757,Success,Success,0,2,4,
457932,Success,Success,0,2,5,
457932,Success,Success,0,2,6,
0100136438,Success,Success,0,2,1,
189818,Success,Success,0,2,6,
142719,Success,Success,0,2,3,
007407,Success,Success,0,2,2,
119853,Success,Success,0,2,2,
029592,Success,Success,0,2,3,
010512,Success,Success,0,2,3,
000164370,Success,Success,0,2,4,
023785,Success,Success,0,3,3,
023785,Success,Success,0,3,4,
000017417,Success,Success,0,4,2,
000017417,Success,Success,0,4,3,
027662,Success,Success,0,2,3,
006815,Success,Success,0,2,5,
010635,Success,Success,0,2,2,
0141238,Success,Success,0,3,1,
077884,Success,Success,0,2,3,
00072539,Success,Success,0,2,2,
422454,Success,Success,0,2,3,
000004126,Success,Success,0,2,2,
000004126,Success,Success,0,2,3,
041551,Success,Success,0,2,4,
069718,Success,Success,0,3,5,
069716,Success,Success,0,3,5,
014105,Success,Success,0,3,3,
100047,Success,Success,0,2,3,
144461,Success,Success,0,2,3,
144461,Success,Success,0,2,4,
010520,Success,Success,0,2,3,
061161,Success,Success,0,2,5,
015032,Success,Success,0,2,3,
411757,Success,Success,0,2,7,
411757,Success,Success,0,2,8,
411757,Success,Success,0,2,9,
001046,Success,Success,0,2,1,
103144,Success,Success,0,2,7,
103144,Success,Success,1,2,8,
000088586,Success,Success,0,2,1,
0000035886,Success,Success,0,2,3,
0000035886,Success,Success,0,2,4,
023539,Success,Success,0,3,4,
030966,Success,Success,0,2,2,
001035,Success,Success,0,2,3,
000388,Success,Success,0,2,3,
037666,Success,Success,0,2,3,
543023029,Success,Success,0,2,1,
049915,Success,Success,0,2,2,
023191,Success,Success,0,2,3,
015274,Success,Success,0,2,2,
00001471,Success,Success,0,2,3,
00003209,Success,Success,0,2,2,
200871,Success,Success,0,2,3,
200871,Success,Success,0,2,4,
270694,Success,Success,0,2,2,
009515,Success,Success,0,2,2,
1034264,Success,Success,0,2,2,
0910798,Success,Success,0,2,2,
00068512,Success,Success,0,2,2,
020981,Success,Success,0,2,2,
020981,Success,Success,0,2,3,
119849,Success,Success,0,2,1,
022652,Success,Success,0,2,2,
051133,Success,Success,0,2,3,
040323,Success,Success,0,2,3,
075527,Success,Success,0,2,4,
014405,Success,Success,0,2,6,
002442,Success,Success,0,2,3,
054889,Success,Success,0,2,3,
001644,Success,Success,0,2,3,
006171,Success,Success,0,2,4,
035609,Success,Success,0,2,5,
122743,Success,Success,0,2,3,
035221,Success,Success,0,2,3,
035221,Success,Success,0,2,4,
011561,Success,Success,0,2,5,
028421,Success,Success,0,2,4,
028421,Success,Success,0,2,5,
028421,Success,Success,0,2,6,
720176,Success,Success,0,2,2,
